incidente,data_andamento,decisao,agravo,orgao_julgador,novo_cpc,adc,adi,adpf,re,sumula,assunto,segmento,instancia,area,paradigma,efeito_vinculante,data_autuacao
4186352,2013-06-05,procedente,sim,Colegiada,CPC/1973,não,sim,não,não,não,TRABALHO,estadual,segunda,DIREITO DO TRABALHO,controle_concentrado,vinculante,2011-12-22
4693441,2015-03-04,procedente,não,Dias Toffoli,CPC/1973,não,não,não,não,não,TRABALHO E PREVIDENCIÁRIO,trabalho,segunda,DIREITO DO TRABALHO,inter_partes,nao_vinculante,2014-12-23
4695068,2015-03-04,procedente,não,Dias Toffoli,CPC/1973,não,não,não,não,não,TRABALHO E PREVIDENCIÁRIO,trabalho,superior,DIREITO DO TRABALHO,inter_partes,nao_vinculante,2015-01-07
4695444,2015-03-04,procedente,não,Dias Toffoli,CPC/1973,não,não,não,não,não,TRABALHO E PREVIDENCIÁRIO,trabalho,superior,DIREITO DO TRABALHO,inter_partes,nao_vinculante,2015-01-08
4695444,2015-03-04,procedente,não,Dias Toffoli,CPC/1973,não,não,não,não,não,TRABALHO E PREVIDENCIÁRIO,trabalho,segunda,DIREITO DO TRABALHO,inter_partes,nao_vinculante,2015-01-08
4695690,2015-03-04,procedente,não,Dias Toffoli,CPC/1973,não,não,não,não,não,TRABALHO E PREVIDENCIÁRIO,trabalho,superior,DIREITO DO TRABALHO,inter_partes,nao_vinculante,2015-01-09
4695690,2015-03-04,procedente,não,Dias Toffoli,CPC/1973,não,não,não,não,não,,trabalho,superior,,inter_partes,nao_vinculante,2015-01-09
4706299,2015-03-09,procedente,não,Dias Toffoli,CPC/1973,não,não,não,não,não,TRABALHO E PREVIDENCIÁRIO,trabalho,primeira,DIREITO DO TRABALHO,inter_partes,nao_vinculante,2015-02-06
4714890,2015-03-04,procedente,não,Dias Toffoli,CPC/1973,não,sim,não,não,não,PROCESSUAL CIVIL E DO TRABALHO,trabalho,superior,DIREITO PROCESSUAL CIVIL E DO TRABALHO,controle_concentrado,vinculante,2015-02-19
4674515,2015-03-06,procedente,não,Cármen Lúcia,CPC/1973,não,não,não,não,não,TRABALHO E PREVIDENCIÁRIO,trabalho,superior,DIREITO DO TRABALHO,inter_partes,nao_vinculante,2014-11-20
4677258,2015-03-06,procedente,não,Cármen Lúcia,CPC/1973,não,não,não,não,não,TRABALHO E PREVIDENCIÁRIO,trabalho,segunda,DIREITO DO TRABALHO,inter_partes,nao_vinculante,2014-11-25
4473160,2015-03-06,procedente,não,Marco Aurélio,CPC/1973,não,não,não,não,não,PROCESSUAL CIVIL E DO TRABALHO,trabalho,superior,DIREITO PROCESSUAL CIVIL E DO TRABALHO,inter_partes,nao_vinculante,2013-10-01
4608048,2015-03-06,procedente,não,Marco Aurélio,CPC/1973,não,não,não,não,não,TRABALHO E PREVIDENCIÁRIO,trabalho,primeira,DIREITO DO TRABALHO,inter_partes,nao_vinculante,2014-07-31
4115314,2015-03-06,procedente,não,Marco Aurélio,CPC/1973,não,não,não,não,não,TRABALHO E PREVIDENCIÁRIO,trabalho,primeira,DIREITO DO TRABALHO,inter_partes,nao_vinculante,2011-07-26
4609134,2015-03-09,procedente,não,Marco Aurélio,CPC/1973,não,não,não,não,não,TRABALHO E PREVIDENCIÁRIO,trabalho,segunda,DIREITO DO TRABALHO,inter_partes,nao_vinculante,2014-08-04
4242773,2015-03-09,procedente,sim,Teori Zavascki,CPC/1973,não,não,não,não,sim,TRABALHO E PREVIDENCIÁRIO,trabalho,superior,DIREITO DO TRABALHO,sumula,vinculante,2012-05-16
4349305,2015-03-09,procedente,não,Teori Zavascki,CPC/1973,não,não,não,não,não,TRABALHO E PREVIDENCIÁRIO,trabalho,segunda,DIREITO DO TRABALHO,inter_partes,nao_vinculante,2012-12-19
4719724,2015-03-09,procedente,não,Teori Zavascki,CPC/1973,não,sim,não,não,sim,PROCESSUAL CIVIL E DO TRABALHO,trabalho,superior,DIREITO PROCESSUAL CIVIL E DO TRABALHO,controle_concentrado,vinculante,2015-02-26
4719724,2015-03-09,procedente,não,Teori Zavascki,CPC/1973,não,sim,não,não,sim,PROCESSUAL CIVIL E DO TRABALHO,trabalho,segunda,DIREITO PROCESSUAL CIVIL E DO TRABALHO,controle_concentrado,vinculante,2015-02-26
4363131,2015-03-10,procedente,sim,Teori Zavascki,CPC/1973,não,não,não,não,sim,TRABALHO E PREVIDENCIÁRIO,trabalho,segunda,DIREITO DO TRABALHO,sumula,vinculante,2013-02-14
4470901,2015-03-10,procedente,não,Teori Zavascki,CPC/1973,não,não,não,não,não,PROCESSUAL CIVIL E DO TRABALHO,trabalho,superior,DIREITO PROCESSUAL CIVIL E DO TRABALHO,inter_partes,nao_vinculante,2013-09-26
4476989,2015-03-10,procedente,não,Teori Zavascki,CPC/1973,não,não,não,não,não,TRABALHO E PREVIDENCIÁRIO,trabalho,segunda,DIREITO DO TRABALHO,inter_partes,nao_vinculante,2013-10-08
4478550,2015-03-10,procedente,não,Teori Zavascki,CPC/1973,não,não,não,não,não,TRABALHO E PREVIDENCIÁRIO,trabalho,superior,DIREITO DO TRABALHO,inter_partes,nao_vinculante,2013-10-10
4479830,2015-03-10,procedente,não,Teori Zavascki,CPC/1973,não,não,não,não,não,TRABALHO E PREVIDENCIÁRIO,trabalho,superior,DIREITO DO TRABALHO,inter_partes,nao_vinculante,2013-10-14
4492319,2015-03-10,procedente,não,Teori Zavascki,CPC/1973,não,não,não,não,não,PROCESSUAL CIVIL E DO TRABALHO,trabalho,segunda,DIREITO PROCESSUAL CIVIL E DO TRABALHO,inter_partes,nao_vinculante,2013-11-06
4500500,2015-03-10,procedente,não,Teori Zavascki,CPC/1973,não,não,não,não,não,TRABALHO E PREVIDENCIÁRIO,trabalho,superior,DIREITO DO TRABALHO,inter_partes,nao_vinculante,2013-11-22
4504258,2015-03-10,procedente,não,Teori Zavascki,CPC/1973,não,não,não,não,não,TRABALHO E PREVIDENCIÁRIO,trabalho,segunda,DIREITO DO TRABALHO,inter_partes,nao_vinculante,2013-11-29
4724209,2015-03-11,procedente,não,Luís Roberto Barroso,CPC/1973,não,sim,não,sim,não,PROCESSUAL CIVIL E DO TRABALHO,estadual,segunda,DIREITO PROCESSUAL CIVIL E DO TRABALHO,controle_concentrado,vinculante,2015-03-04
4724167,2015-03-11,procedente,não,Gilmar Mendes,CPC/1973,não,não,não,não,não,PROCESSUAL CIVIL E DO TRABALHO,trabalho,superior,DIREITO PROCESSUAL CIVIL E DO TRABALHO,inter_partes,nao_vinculante,2015-03-04
4254870,2015-03-13,procedente,sim,Teori Zavascki,CPC/1973,não,não,não,não,sim,TRABALHO E PREVIDENCIÁRIO,trabalho,primeira,DIREITO DO TRABALHO,sumula,vinculante,2012-06-04
4513774,2015-03-13,procedente,não,Teori Zavascki,CPC/1973,não,não,não,não,não,TRABALHO E PREVIDENCIÁRIO,trabalho,superior,DIREITO DO TRABALHO,inter_partes,nao_vinculante,2013-12-17
4521501,2015-03-13,procedente,não,Teori Zavascki,CPC/1973,não,não,não,não,não,TRABALHO E PREVIDENCIÁRIO,trabalho,superior,DIREITO DO TRABALHO,inter_partes,nao_vinculante,2014-01-28
4522063,2015-03-13,procedente,não,Teori Zavascki,CPC/1973,não,não,não,não,não,TRABALHO E PREVIDENCIÁRIO,trabalho,superior,DIREITO DO TRABALHO,inter_partes,nao_vinculante,2014-01-29
4529541,2015-03-13,procedente,não,Teori Zavascki,CPC/1973,não,não,não,não,não,TRABALHO E PREVIDENCIÁRIO,trabalho,superior,DIREITO DO TRABALHO,inter_partes,nao_vinculante,2014-02-14
4535699,2015-03-13,procedente,não,Teori Zavascki,CPC/1973,não,não,não,não,não,PROCESSUAL CIVIL E DO TRABALHO,trabalho,superior,DIREITO PROCESSUAL CIVIL E DO TRABALHO,inter_partes,nao_vinculante,2014-02-26
4538402,2015-03-13,procedente,não,Teori Zavascki,CPC/1973,não,não,não,não,não,PROCESSUAL CIVIL E DO TRABALHO,trabalho,segunda,DIREITO PROCESSUAL CIVIL E DO TRABALHO,inter_partes,nao_vinculante,2014-03-06
4550563,2015-03-13,procedente,não,Teori Zavascki,CPC/1973,não,não,não,não,não,PROCESSUAL CIVIL E DO TRABALHO,trabalho,superior,DIREITO PROCESSUAL CIVIL E DO TRABALHO,inter_partes,nao_vinculante,2014-03-27
